name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
Divine Ugochukwu,https://www.on3.com/db/divine-ugochukwu-157468/,CG,FR,6-3,180.0,Clements,"(Sugar Land, TX)",91.6,,Entered,Miami,,https://www.cbssports.com/college-basketball/players/29557188/divine-ugochukwu/,G,MIAMI,28,16,20.2,5.3,56,116,48.3,6,34,17.6,29,46,63.0,28,16,20.2,10,42,52,1.9,28,16,64,2.3,45,1.6,1.4,28,16,29,1.0,28,16,3,0.1
Djahi Binet,https://www.on3.com/db/djahi-binet-250186/,PF,JR,6-7,215.0,,(Nice),,,Entered,Alcorn State,,https://www.cbssports.com/college-basketball/players/29233569/djahi-binet/,F,ALCORN,31,29,25.5,9.5,117,212,55.2,0,0,—,60,95,63.2,31,29,25.5,104,131,235,7.6,31,29,12,0.4,55,1.8,0.2,31,29,18,0.6,31,29,21,0.7
Doctor Bradley,https://www.on3.com/db/doctor-bradley-37391/,SF,-,6-7,185.0,Junipero Serra,"(Gardena, CA)",,,Entered,Arkansas Pine Bluff,,https://www.cbssports.com/college-basketball/players/3141638/doctor-bradley/,F,ARKPB,18,18,35.3,19.6,129,230,56.1,5,13,38.5,90,193,46.6,18,18,35.3,36,135,171,9.5,18,18,81,4.5,61,3.4,1.3,18,18,51,2.8,18,18,18,1.0
Dominick Harris,https://www.on3.com/db/dominick-harris-37598/,SG,RS-SR,6-3,185.0,Rancho Christian,"(Temecula, CA)",87.5,,Entered,UCLA,,https://www.cbssports.com/college-basketball/players/3177446/dominick-harris/,G,UCLA,11,0,7.2,1.1,4,26,15.4,2,18,11.1,2,2,100.0,11,0,7.2,2,5,7,0.6,11,0,1,0.1,3,0.3,0.3,11,0,4,0.4,11,0,0,0.0
Dominick Nelson,https://www.on3.com/db/dominick-nelson-250335/,SG,JR,6-5,,Liberty Heights Athletic Institute,"(Miami, FL)",90.85,,Entered,Utah Valley University,,https://www.cbssports.com/college-basketball/players/29559324/dominick-nelson/,G,UTVALL,34,34,29.9,14.4,152,349,43.6,22,87,25.3,163,237,68.8,34,34,29.9,24,152,176,5.2,34,34,58,1.7,77,2.3,0.8,34,34,29,0.9,34,34,24,0.7
Dominique Ford,https://www.on3.com/db/dominique-ford-222641/,SG,SR,6-5,,Desert Oasis,"(Las Vegas, NV)",87.5,,Entered,Southern Utah,,https://www.cbssports.com/college-basketball/players/28955882/dominique-ford/,G,SUTAH,25,24,26.8,14.5,122,291,41.9,49,153,32.0,69,77,89.6,25,24,26.8,15,55,70,2.8,25,24,35,1.4,37,1.5,0.9,25,24,24,1.0,25,24,2,0.1
Don McHenry,https://www.on3.com/db/don-mchenry-250316/,SG,SR,6-2,170.0,Milwaukee Academy Of Science,"(Milwaukee, WI)",91.61,,Entered,Western Kentucky,,https://www.cbssports.com/college-basketball/players/29234887/don-mchenry/,G,WKY,32,28,29.0,17.0,181,458,39.5,65,209,31.1,117,143,81.8,32,28,29.0,21,85,106,3.3,32,28,55,1.7,46,1.4,1.2,32,28,46,1.4,32,28,2,0.1
Donovan Atwell,https://www.on3.com/db/donovan-atwell-38133/,SG,JR,6-5,180.0,Providence Day School,"(Huntersville, NC)",81.25,,Committed,UNC Greensboro,Texas Tech Red Raiders,https://www.cbssports.com/college-basketball/players/28954682/donovan-atwell/,G,NCGRN,32,32,29.3,13.3,141,351,40.2,96,241,39.8,48,53,90.6,32,32,29.3,34,75,109,3.4,32,32,27,0.8,40,1.3,0.7,32,32,19,0.6,32,32,5,0.2
Donovan Dent,https://www.on3.com/db/donovan-dent-147605/,PG,JR,6-2,170.0,Centennial,"(Corona, CA)",98.03,$2M,Committed,New Mexico,UCLA Bruins,https://www.cbssports.com/college-basketball/players/28953005/donovan-dent/,G,NMEX,35,35,35.3,20.4,255,520,49.0,27,66,40.9,178,227,78.4,35,35,35.3,13,69,82,2.3,35,35,224,6.4,108,3.1,2.1,35,35,48,1.4,35,35,30,0.9
Donovan Newby,https://www.on3.com/db/donovan-newby-38218/,PG,SR,6-0,170.0,Bloom,"(Chicago Heights, IL)",89.0,,Entered,University of North Carolina Wilmington,,https://www.cbssports.com/college-basketball/players/3178451/donovan-newby/,G,NCWILM,35,35,32.0,14.4,143,371,38.5,77,218,35.3,141,158,89.2,35,35,32.0,17,77,94,2.7,35,35,123,3.5,54,1.5,2.3,35,35,42,1.2,35,35,3,0.1
Dontaie Allen,https://www.on3.com/db/dontaie-allen-38345/,SF,RS-SR,6-6,210.0,Pendleton County,"(Falmouth, KY)",93.33,,Entered,Wyoming,,https://www.cbssports.com/college-basketball/players/3141626/dontaie-allen/,G,WYO,32,17,24.0,7.8,77,216,35.6,42,136,30.9,53,69,76.8,32,17,24.0,18,87,105,3.3,32,17,31,1.0,37,1.2,0.8,32,17,14,0.4,32,17,9,0.3
Dontrez Styles,https://www.on3.com/db/dontrez-styles-38504/,SF,SR,6-7,205.0,Kinston,"(Kinston, NC)",92.8,,Entered,NC State,,https://www.cbssports.com/college-basketball/players/26777297/dontrez-styles/,G,NCST,31,29,26.3,11.4,130,295,44.1,52,144,36.1,40,56,71.4,31,29,26.3,47,108,155,5.0,31,29,14,0.5,28,0.9,0.5,31,29,11,0.4,31,29,30,1.0
Dorian Finister,https://www.on3.com/db/dorian-finister-154689/,SG,JR,6-5,190.0,G.W. Carver,"(New Orleans, LA)",81.75,,Committed,Sam Houston State,Louisiana Ragin Cajuns,https://www.cbssports.com/college-basketball/players/28953308/dorian-finister/,G,SAMHOU,23,19,26.6,8.0,65,187,34.8,15,53,28.3,39,56,69.6,23,19,26.6,39,91,130,5.7,23,19,31,1.3,30,1.3,1.0,23,19,17,0.7,23,19,12,0.5
Doryan Onwuchekwa,https://www.on3.com/db/doryan-onwuchekwa-38636/,C,FR,6-10,235.0,Waxahachie Faith Family Academy,"(DeSoto, TX)",90.0,,Entered,Georgia Tech,,https://www.cbssports.com/college-basketball/players/29556078/doryan-onwuchekwa/,C,GATECH,10,8,18.2,3.5,15,45,33.3,3,18,16.7,2,10,20.0,10,8,18.2,18,31,49,4.9,10,8,8,0.8,4,0.4,2.0,10,8,4,0.4,10,8,6,0.6
Dovydas Butka,https://www.on3.com/db/dovydas-butka-250598/,PF,FR,6-9,215.0,BC Zalgiris,(Panevezys),90.58,,Entered,Pepperdine,,https://www.cbssports.com/college-basketball/players/29557284/dovydas-butka/,G,PEPPER,35,35,29.5,9.6,135,280,48.2,15,56,26.8,50,97,51.5,35,35,29.5,70,143,213,6.1,35,35,76,2.2,47,1.3,1.6,35,35,33,0.9,35,35,10,0.3
Dra Gibbs-Lawhorn,https://www.on3.com/db/dra-gibbs-lawhorn-38759/,PG,SO,6-1,165.0,Montverde Academy,"(Lafayette, IN)",89.0,,Committed,Illinois,UNLV Rebels,https://www.cbssports.com/college-basketball/players/29231517/dra-gibbs-lawhorn/,G,ILL,35,2,14.9,5.9,77,174,44.3,25,98,25.5,29,36,80.6,35,2,14.9,26,29,55,1.6,35,2,17,0.5,23,0.7,0.7,35,2,11,0.3,35,2,2,0.1
Drayton Jones,https://www.on3.com/db/drayton-jones-158434/,C,FR,6-10,240.0,Oak Hill Academy,"(Houston, TX)",92.82,,Committed,South Carolina State,Butler Bulldogs,https://www.cbssports.com/college-basketball/players/29268451/drayton-jones/,F,SCST,33,32,23.6,13.0,136,241,56.4,0,0,—,157,227,69.2,33,32,23.6,65,117,182,5.5,33,32,47,1.4,83,2.5,0.6,33,32,28,0.8,33,32,56,1.7
Drew Fielder,https://www.on3.com/db/drew-fielder-157238/,C,SO,6-9,205.0,So Cal Academy,"(Meridian, ID)",92.31,,Committed,Georgetown,Boise State Broncos,https://www.cbssports.com/college-basketball/players/29232369/drew-fielder/,F,GTOWN,31,31,23.5,7.1,82,177,46.3,18,72,25.0,38,53,71.7,31,31,23.5,51,117,168,5.4,31,31,30,1.0,29,0.9,1.0,31,31,11,0.4,31,31,13,0.4
Drew McKenna,https://www.on3.com/db/drew-mckenna-156613/,SF,RS-FR,6-8,200.0,Glenelg,"(Baltimore, MD)",91.61,,Entered,Georgetown,,https://www.cbssports.com/college-basketball/players/28904271/drew-mckenna/,F,GTOWN,20,2,7.2,1.8,14,39,35.9,1,16,6.3,6,11,54.5,20,2,7.2,8,25,33,1.7,20,2,3,0.2,3,0.2,1.0,20,2,5,0.3,20,2,1,0.1
Dug McDaniel,https://www.on3.com/db/dug-mcdaniel-39315/,PG,JR,5-11,167.0,Paul VI Catholic,"(Fairfax, VA)",93.82,,Committed,Kansas State,Memphis Tigers,https://www.cbssports.com/college-basketball/players/28953284/dug-mcdaniel/,G,KSTATE,32,23,32.4,11.4,145,384,37.8,34,132,25.8,42,58,72.4,32,23,32.4,11,78,89,2.8,32,23,158,4.9,85,2.7,1.9,32,23,54,1.7,32,23,0,0.0
Duke Brennan,https://www.on3.com/db/duke-brennan-39325/,C,JR,6-10,235.0,Hillcrest Prep,"(Gilbert, AZ)",92.8,,Committed,Grand Canyon University,Villanova Wildcats,https://www.cbssports.com/college-basketball/players/28955837/duke-brennan/,F,GC,30,30,26.5,10.4,122,189,64.6,0,1,0.0,68,104,65.4,30,30,26.5,102,173,275,9.2,30,30,16,0.5,35,1.2,0.5,30,30,23,0.8,30,30,13,0.4
Duke Miles,https://www.on3.com/db/duke-miles-39340/,CG,SR,6-2,170.0,Percy L. Julian,"(Montgomery, AL)",92.8,,Committed,Oklahoma,Texas A&M Aggies,https://www.cbssports.com/college-basketball/players/3177473/duke-miles/,G,OKLA,34,34,24.6,9.4,108,210,51.4,40,93,43.0,64,77,83.1,34,34,24.6,14,72,86,2.5,34,34,69,2.0,41,1.2,1.7,34,34,48,1.4,34,34,2,0.1
Duncan Powell,https://www.on3.com/db/duncan-powell-39365/,PF,SR,6-8,220.0,DeSoto,"(DeSoto, TX)",,,Committed,Georgia Tech,Providence Friars,https://www.cbssports.com/college-basketball/players/26779073/duncan-powell/,F,GATECH,33,13,29.4,12.2,135,306,44.1,53,148,35.8,79,115,68.7,33,13,29.4,54,124,178,5.4,33,13,26,0.8,39,1.2,0.7,33,13,21,0.6,33,13,14,0.4
Dusty Stromer,https://www.on3.com/db/dusty-stromer-147245/,SG,SO,6-6,180.0,Notre Dame,"(Sherman Oaks, CA)",91.71,,Committed,Gonzaga University,Grand Canyon University Antelopes,https://www.cbssports.com/college-basketball/players/29020118/dusty-stromer/,G,GONZAG,34,1,17.4,4.3,50,125,40.0,27,79,34.2,19,24,79.2,34,1,17.4,11,60,71,2.1,34,1,23,0.7,21,0.6,1.1,34,1,20,0.6,34,1,8,0.2
Dylan Anderson,https://www.on3.com/db/dylan-anderson-39774/,PF,RS-SO,7-0,215.0,Perry,"(Gilbert, AZ)",89.0,,Committed,Boise State,Murray State Racers,https://www.cbssports.com/college-basketball/players/28953359/dylan-anderson/,F,BOISE,24,11,10.2,3.5,35,65,53.8,5,13,38.5,8,12,66.7,24,11,10.2,7,34,41,1.7,24,11,18,0.8,17,0.7,1.1,24,11,4,0.2,24,11,2,0.1
Dylan Andrews,https://www.on3.com/db/dylan-andrews-39775/,PG,JR,6-2,170.0,Windward School,"(Los Angeles, CA)",90.94,,Committed,UCLA,Boise State Broncos,https://www.cbssports.com/college-basketball/players/28954340/dylan-andrews/,G,UCLA,32,29,24.9,6.9,85,224,37.9,34,104,32.7,16,23,69.6,32,29,24.9,11,39,50,1.6,32,29,109,3.4,54,1.7,2.0,32,29,20,0.6,32,29,2,0.1
Dylan Arnett,https://www.on3.com/db/dylan-arnett-147827/,PF,JR,6-9,,DePaul College Prep,"(Chicago, IL)",,,Committed,Cleveland State University,North Texas Mean Green,https://www.cbssports.com/college-basketball/players/28952402/dylan-arnett/,F,CLEVST,36,36,28.5,11.3,175,284,61.6,0,1,0.0,58,96,60.4,36,36,28.5,103,152,255,7.1,36,36,56,1.6,57,1.6,1.0,36,36,28,0.8,36,36,46,1.3
Dylan Darling,https://www.on3.com/db/dylan-darling-152494/,PG,JR,6-2,175.0,Central Valley,"(Spokane, WA)",92.93,,Committed,Idaho State,St. John's Red Storm,https://www.cbssports.com/college-basketball/players/28953770/dylan-darling/,G,IDST,28,28,34.3,19.8,168,381,44.1,52,146,35.6,166,205,81.0,28,28,34.3,10,86,96,3.4,28,28,160,5.7,69,2.5,2.3,28,28,47,1.7,28,28,12,0.4
Dylan Faulkner,https://www.on3.com/db/dylan-faulkner-250693/,PF,SO,6-9,215.0,Calhoun,"(Calhoun, GA)",92.98,,Entered,Lipscomb,,https://www.cbssports.com/college-basketball/players/29231358/dylan-faulkner/,F,LPSCMB,15,13,17.5,10.5,62,102,60.8,0,8,0.0,33,47,70.2,15,13,17.5,27,52,79,5.3,15,13,30,2.0,21,1.4,1.4,15,13,8,0.5,15,13,25,1.7
EJay Greer,https://www.on3.com/db/ejay-greer-250325/,SG,FR,6-8,170.0,Rocktop Academy,"(Lansdowne, PA)",,,Entered,Bowling Green,,https://www.cbssports.com/college-basketball/players/29234851/ejay-greer/,G,ALAM,9,0,11.2,5.2,18,42,42.9,4,15,26.7,7,9,77.8,9,0,11.2,8,14,22,2.4,9,0,5,0.6,10,1.1,0.5,9,0,2,0.2,9,0,0,0.0
Eemeli Yalaho,https://www.on3.com/db/eemeli-yalaho-177409/,PF,SO,6-8,230.0,Western Reserve Academy,"(Hudson, OH)",89.0,,Entered,Texas Tech,,https://www.cbssports.com/college-basketball/players/29233923/eemeli-yalaho/,F,TXTECH,8,1,11.3,3.3,10,18,55.6,3,6,50.0,3,7,42.9,8,1,11.3,6,13,19,2.4,8,1,6,0.8,4,0.5,1.5,8,1,2,0.3,8,1,1,0.1
Efrem Johnson,https://www.on3.com/db/efrem-johnson-174250/,SG,JR,6-4,180.0,Grissom,"(Huntsville, AL)",,,Committed,UAB,Clemson Tigers,https://www.cbssports.com/college-basketball/players/28955306/efrem-johnson/,G,UAB,37,21,26.9,8.8,113,308,36.7,49,153,32.0,52,60,86.7,37,21,26.9,22,54,76,2.1,37,21,68,1.8,33,0.9,2.1,37,21,31,0.8,37,21,7,0.2
Elijah Crawford,https://www.on3.com/db/elijah-crawford-152479/,PG,FR,6-2,185.0,Brewster Academy,"(Augusta, GA)",88.5,,Entered,BYU,,https://www.cbssports.com/college-basketball/players/29559090/elijah-crawford/,G,BYU,21,0,5.1,1.2,9,26,34.6,2,9,22.2,5,7,71.4,21,0,5.1,5,8,13,0.6,21,0,15,0.7,6,0.3,2.5,21,0,6,0.3,21,0,0,0.0
Elijah Elliott,https://www.on3.com/db/elijah-elliott-241454/,CG,SR,6-1,171.0,Yates,"(Houston, TX)",,,Entered,Southern Illinois,,https://www.cbssports.com/college-basketball/players/29555688/elijah-elliott/,G,SILL,5,4,26.4,14.0,27,53,50.9,9,26,34.6,7,8,87.5,5,4,26.4,0,17,17,3.4,5,4,8,1.6,7,1.4,1.1,5,4,5,1.0,5,4,1,0.2
Elijah Elliott,https://www.on3.com/db/elijah-elliott-241454/,CG,SR,6-1,171.0,Yates,"(Houston, TX)",,,Entered,Southern Illinois,,https://www.cbssports.com/college-basketball/players/29556840/elijah-elliott/,G,OHIO,30,14,16.4,5.1,54,123,43.9,11,28,39.3,33,54,61.1,30,14,16.4,13,83,96,3.2,30,14,43,1.4,25,0.8,1.7,30,14,12,0.4,30,14,7,0.2
Elijah Fisher,https://www.on3.com/db/elijah-fisher-41177/,SG,JR,6-6,190.0,Canada,"(Toronto, ON)",89.91,,Entered,Pacific,,https://www.cbssports.com/college-basketball/players/28954979/elijah-fisher/,G,UOP,33,33,33.5,15.7,170,352,48.3,19,64,29.7,160,214,74.8,33,33,33.5,42,118,160,4.8,33,33,48,1.5,88,2.7,0.5,33,33,24,0.7,33,33,9,0.3
Elijah Gray,https://www.on3.com/db/elijah-gray-41198/,SF,JR,6-6,190.0,Hargrave Military Academy (HS),"(Charlotte, NC)",90.0,,Entered,Temple,,https://www.cbssports.com/college-basketball/players/28955303/elijah-gray/,F,TEMPLE,25,0,19.8,9.0,77,160,48.1,14,46,30.4,57,76,75.0,25,0,19.8,28,66,94,3.8,25,0,15,0.6,39,1.6,0.4,25,0,10,0.4,25,0,8,0.3
Elijah Hawkins,https://www.on3.com/db/elijah-hawkins-179456/,PG,SR,5-11,152.0,DeMatha Catholic,"(Washington, DC)",,,Entered,Texas Tech,,https://www.cbssports.com/college-basketball/players/26778194/elijah-hawkins/,G,TXTECH,35,34,31.9,9.1,92,285,32.3,54,171,31.6,80,95,84.2,35,34,31.9,17,106,123,3.5,35,34,225,6.4,69,2.0,3.3,35,34,54,1.5,35,34,5,0.1
Elijah Jones,https://www.on3.com/db/elijah-jones-241412/,PF,SR,6-7,210.0,Marian Catholic,"(South Holland, IL)",,,Entered,College of Charleston,,https://www.cbssports.com/college-basketball/players/28955192/elijah-jones/,F,UTEP,33,0,10.3,3.5,44,90,48.9,10,25,40.0,16,23,69.6,33,0,10.3,16,61,77,2.3,33,0,9,0.3,17,0.5,0.5,33,0,7,0.2,33,0,23,0.7
Elijah Jones,https://www.on3.com/db/elijah-jones-241412/,PF,SR,6-7,210.0,Marian Catholic,"(South Holland, IL)",,,Entered,College of Charleston,,https://www.cbssports.com/college-basketball/players/29231091/elijah-jones/,F,CHARLS,31,1,12.4,2.0,28,45,62.2,1,1,100.0,5,25,20.0,31,1,12.4,35,50,85,2.7,31,1,11,0.4,15,0.5,0.7,31,1,18,0.6,31,1,4,0.1
Elijah Moore,https://www.on3.com/db/elijah-moore-156626/,SG,FR,6-3,170.0,Our Saviour Lutheran School,"(Bronx, NY)",90.93,,Committed,Syracuse,Utah Utes,https://www.cbssports.com/college-basketball/players/29555700/elijah-moore/,G,CUSE,26,16,15.6,5.2,52,133,39.1,23,73,31.5,9,12,75.0,26,16,15.6,7,32,39,1.5,26,16,25,1.0,21,0.8,1.2,26,16,8,0.3,26,16,0,0.0
Elijah Price,https://www.on3.com/db/elijah-price-41324/,PF,RS-FR,6-9,208.0,St Anthony,"(Long Beach, CA)",93.79,,Entered,Fresno State,,https://www.cbssports.com/college-basketball/players/29231811/elijah-price/,F,FRESNO,32,32,30.8,10.5,97,242,40.1,4,38,10.5,137,209,65.6,32,32,30.8,103,161,264,8.3,32,32,33,1.0,67,2.1,0.5,32,32,43,1.3,32,32,40,1.3
Elijah Saunders,https://www.on3.com/db/elijah-saunders-147573/,PF,JR,6-8,220.0,Sunnyslope,"(Phoenix, AZ)",93.3,,Committed,Virginia,Maryland Terrapins,https://www.cbssports.com/college-basketball/players/28954994/elijah-saunders/,F,UVA,29,26,26.8,10.4,102,243,42.0,33,95,34.7,65,78,83.3,29,26,26.8,29,117,146,5.0,29,26,22,0.8,37,1.3,0.6,29,26,14,0.5,29,26,8,0.3
Elijah Strong,https://www.on3.com/db/elijah-strong-158460/,PF,SO,6-8,245.0,Myers Park,"(Charlotte, NC)",90.44,,Committed,Boston College,South Carolina Gamecocks,https://www.cbssports.com/college-basketball/players/29233836/elijah-strong/,F,BC,27,19,23.7,9.6,95,210,45.2,25,69,36.2,44,70,62.9,27,19,23.7,40,71,111,4.1,27,19,25,0.9,47,1.7,0.5,27,19,6,0.2,27,19,7,0.3
Elijah Tucker,https://www.on3.com/db/elijah-tucker-41403/,PF,SR,6-7,190.0,Cherokee,"(Canton, GA)",,,Entered,Longwood,,https://www.cbssports.com/college-basketball/players/26775827/elijah-tucker/,F,LONGWD,32,26,19.8,9.7,121,207,58.5,0,0,—,68,110,61.8,32,26,19.8,57,102,159,5.0,32,26,21,0.7,53,1.7,0.4,32,26,21,0.7,32,26,1,0.0
Elliot Cadeau,https://www.on3.com/db/elliot-cadeau-150874/,PG,SO,6-2,165.0,Link Academy,"(West Orange, NJ)",94.83,,Committed,North Carolina,Michigan Wolverines,https://www.cbssports.com/college-basketball/players/29232162/elliot-cadeau/,G,UNC,37,37,27.8,9.4,126,283,44.5,29,86,33.7,65,97,67.0,37,37,27.8,16,91,107,2.9,37,37,231,6.2,113,3.1,2.0,37,37,41,1.1,37,37,9,0.2
Elmore James,https://www.on3.com/db/elmore-james-147639/,CG,JR,6-3,205.0,Brush,"(Cleveland, OH)",,,Entered,Ohio,,https://www.cbssports.com/college-basketball/players/28954622/elmore-james/,G,OHIO,30,17,25.5,8.2,82,210,39.0,38,102,37.3,43,51,84.3,30,17,25.5,22,57,79,2.6,30,17,26,0.9,31,1.0,0.8,30,17,24,0.8,30,17,5,0.2
Emmanuel Okorafor,https://www.on3.com/db/emmanuel-okorafor-237742/,C,JR,6-9,220.0,NBA Academy Africa,(Abia),,,Entered,Seton Hall,,https://www.cbssports.com/college-basketball/players/29069709/emmanuel-okorafor/,C,SETON,25,9,10.8,2.7,29,55,52.7,0,1,0.0,10,25,40.0,25,9,10.8,23,31,54,2.2,25,9,6,0.2,12,0.5,0.5,25,9,6,0.2,25,9,7,0.3
Emmanuel Stephen,https://www.on3.com/db/emmanuel-stephen-235859/,C,FR,7-0,215.0,Dream City Christian,"(Glendale, AZ)",90.37,,Committed,Arizona,UNLV Rebels,https://www.cbssports.com/college-basketball/players/29558031/emmanuel-stephen/,C,ARIZ,8,0,2.9,1.3,5,5,100.0,0,0,—,0,3,0.0,8,0,2.9,1,9,10,1.3,8,0,1,0.1,2,0.3,0.5,8,0,2,0.3,8,0,1,0.1
Emmanuel Ugbo,https://www.on3.com/db/emmanuel-ugbo-176452/,PF,SO,6-8,235.0,Netherlands,(Lagos),,,Committed,Boise State,Washington State Cougars,https://www.cbssports.com/college-basketball/players/29232141/emmanuel-ugbo/,F,BOISE,36,12,10.1,3.1,41,85,48.2,5,22,22.7,26,33,78.8,36,12,10.1,21,63,84,2.3,36,12,7,0.2,19,0.5,0.4,36,12,4,0.1,36,12,13,0.4
Enoch Boakye,https://www.on3.com/db/enoch-boakye-41885/,PF,SR,6-10,240.0,George Harris Prep,"(Mississauga, ON)",93.91,,Entered,Villanova,,https://www.cbssports.com/college-basketball/players/26775701/enoch-boakye/,F,NOVA,36,36,22.9,4.4,58,88,65.9,0,0,—,44,59,74.6,36,36,22.9,80,152,232,6.4,36,36,11,0.3,26,0.7,0.4,36,36,12,0.3,36,36,26,0.7
Eren Banks,https://www.on3.com/db/eren-banks-154872/,CG,SO,6-3,180.0,Putnam County,"(Eatonton, GA)",89.0,,Committed,Georgia Southern,Appalachian State Mountaineers,https://www.cbssports.com/college-basketball/players/29233017/eren-banks/,G,GASOU,33,30,28.8,9.4,115,250,46.0,52,131,39.7,29,47,61.7,33,30,28.8,13,71,84,2.5,33,30,77,2.3,62,1.9,1.2,33,30,45,1.4,33,30,2,0.1
Eric Mulder,https://www.on3.com/db/eric-mulder-147831/,PF,JR,6-8,200.0,Pella Christian,"(Oskaloosa, IA)",89.79,,Committed,Purdue University Fort Wayne,Iowa State Cyclones,https://www.cbssports.com/college-basketball/players/28955876/eric-mulder/,F,IPFW,24,23,24.1,8.4,87,114,76.3,0,3,0.0,28,47,59.6,24,23,24.1,68,93,161,6.7,24,23,4,0.2,11,0.5,0.4,24,23,29,1.2,24,23,16,0.7
Eric Parnell,https://www.on3.com/db/eric-parnell-250231/,SG,JR,6-3,,Holy Trinity Episcopal Academy,"(Melbourne, FL)",,,Entered,Hofstra,,https://www.cbssports.com/college-basketball/players/29233368/eric-parnell/,G,HOFSTRA,16,0,11.0,3.8,21,52,40.4,15,40,37.5,3,3,100.0,16,0,11.0,1,19,20,1.3,16,0,8,0.5,1,0.1,8.0,16,0,6,0.4,16,0,0,0.0
Ernest Udeh Jr.,https://www.on3.com/db/ernest-udeh-jr-42750/,C,JR,6-10,250.0,Dr. Phillips,"(Orlando, FL)",93.44,,Committed,TCU,Miami Hurricanes,https://www.cbssports.com/college-basketball/players/28954925/ernest-udeh-jr/,C,TCU,30,30,26.5,6.6,71,112,63.4,0,0,—,55,92,59.8,30,30,26.5,93,133,226,7.5,30,30,35,1.2,33,1.1,1.1,30,30,43,1.4,30,30,38,1.3
Evan Mahaffey,https://www.on3.com/db/evan-mahaffey-43318/,SG,JR,6-6,200.0,Archbishop Moeller,"(Cincinnati, OH)",89.43,,Committed,Ohio State,Akron Zips,https://www.cbssports.com/college-basketball/players/28955030/evan-mahaffey/,G,OHIOST,32,3,17.9,3.6,49,73,67.1,1,2,50.0,15,39,38.5,32,3,17.9,41,57,98,3.1,32,3,27,0.8,19,0.6,1.4,32,3,23,0.7,32,3,28,0.9
Evan Nelson,https://www.on3.com/db/evan-nelson-43354/,PG,SR,6-1,160.0,Salpointe Catholic,"(Tucson, AZ)",,,Committed,Harvard,Arizona Wildcats,https://www.cbssports.com/college-basketball/players/26876669/evan-nelson/,G,HARV,27,25,27.2,9.1,87,191,45.5,38,94,40.4,34,37,91.9,27,25,27.2,17,64,81,3.0,27,25,78,2.9,67,2.5,1.2,27,25,37,1.4,27,25,3,0.1
Ezra Ausar,https://www.on3.com/db/ezra-ausar-43581/,PF,JR,6-8,235.0,Liberty Heights Athletic Institute,"(Snellville, GA)",93.86,,Committed,Utah,USC Trojans,https://www.cbssports.com/college-basketball/players/28952234/ezra-ausar/,F,UTAH,31,29,23.1,12.5,131,253,51.8,1,14,7.1,123,197,62.4,31,29,23.1,65,91,156,5.0,31,29,27,0.9,55,1.8,0.5,31,29,26,0.8,31,29,11,0.4
Femi Odukale,https://www.on3.com/db/femi-odukale-43762/,SG,SR,6-3,185.0,Commonwealth Academy,"(Brooklyn, NY)",90.0,,Entered,Minnesota,,https://www.cbssports.com/college-basketball/players/3178116/femi-odukale/,G,MINN,32,30,29.5,6.8,86,201,42.8,13,46,28.3,31,60,51.7,32,30,29.5,42,99,141,4.4,32,30,115,3.6,73,2.3,1.6,32,30,47,1.5,32,30,37,1.2
Filip Borovicanin,https://www.on3.com/db/filip-borovicanin-154088/,SF,JR,6-8,180.0,Serbia,(Belgrade),89.87,,Committed,New Mexico,Xavier Musketeers,https://www.cbssports.com/college-basketball/players/28951976/filip-borovicanin/,F,NMEX,35,29,22.6,5.9,74,179,41.3,26,82,31.7,31,48,64.6,35,29,22.6,38,123,161,4.6,35,29,40,1.1,35,1.0,1.1,35,29,23,0.7,35,29,8,0.2
Flory Bidunga,https://www.on3.com/db/flory-bidunga-153411/,PF,FR,6-9,215.0,Kokomo,(Kinshasa),98.21,,Withdrawn,Kansas,Kansas,https://www.cbssports.com/college-basketball/players/29557584/flory-bidunga/,F,KANSAS,34,6,16.2,5.9,88,126,69.8,0,0,—,24,45,53.3,34,6,16.2,61,121,182,5.4,34,6,11,0.3,26,0.8,0.4,34,6,19,0.6,34,6,54,1.6
Frank Mitchell,https://www.on3.com/db/frank-mitchell-241365/,PF,SR,6-8,240.0,Oakville Prep,"(Toronto, ON)",,,Committed,Minnesota,St. Bonaventure University Bonnies,https://www.cbssports.com/college-basketball/players/28975567/frank-mitchell/,F,MINN,29,9,15.6,4.9,65,98,66.3,0,0,—,13,32,40.6,29,9,15.6,69,67,136,4.7,29,9,21,0.7,28,1.0,0.8,29,9,8,0.3,29,9,18,0.6
Frankie Collins,https://www.on3.com/db/frankie-collins-44118/,PG,SR,6-1,180.0,Coronado,"(Henderson, NV)",95.77,,Committed,TCU,Vanderbilt Commodores,https://www.cbssports.com/college-basketball/players/26777981/frankie-collins/,G,TCU,9,9,30.9,11.2,38,90,42.2,6,23,26.1,19,32,59.4,9,9,30.9,6,34,40,4.4,9,9,40,4.4,21,2.3,1.9,9,9,17,1.9,9,9,2,0.2
